Tiempo:  9 , Tnorm:  31.3443 , Rnorm:  0.196856 
Tiempo:  14 , Tnorm:  14.2524 , Rnorm:  0.0503397 
Tiempo:  20 , Tnorm:  18.7558 , Rnorm:  0.0254603 
Tiempo:  25 , Tnorm:  18.297 , Rnorm:  0.0143256 
Tiempo:  29 , Tnorm:  19.9383 , Rnorm:  0.0130513 
Tiempo:  34 , Tnorm:  18.4002 , Rnorm:  0.0154882 
Tiempo:  39 , Tnorm:  18.449 , Rnorm:  0.0173626 
Tiempo:  43 , Tnorm:  17.9988 , Rnorm:  0.0164962 
Tiempo:  48 , Tnorm:  18.1909 , Rnorm:  0.0160534 
Tiempo:  53 , Tnorm:  16.891 , Rnorm:  0.0212007 
Tiempo:  58 , Tnorm:  17.7872 , Rnorm:  0.0146589 
Tiempo:  62 , Tnorm:  18.2304 , Rnorm:  0.0153593 


target = QVector(150, 850, 500, 0, -0.78, 0)
Tiempo:  7 , Tnorm:  187.83 , Rnorm:  0.494436 
Tiempo:  16 , Tnorm:  134.48 , Rnorm:  0.526456 
Tiempo:  24 , Tnorm:  99.4997 , Rnorm:  0.540823 
Tiempo:  29 , Tnorm:  95.2686 , Rnorm:  0.530846 
Tiempo:  33 , Tnorm:  97.9197 , Rnorm:  0.536701 
Tiempo:  38 , Tnorm:  91.9539 , Rnorm:  0.525101 
Tiempo:  43 , Tnorm:  94.962 , Rnorm:  0.533622 
Tiempo:  47 , Tnorm:  94.7812 , Rnorm:  0.528505 
Tiempo:  52 , Tnorm:  95.9161 , Rnorm:  0.535617 
Tiempo:  57 , Tnorm:  95.9178 , Rnorm:  0.535232 
Tiempo:  61 , Tnorm:  96.013 , Rnorm:  0.534666

target =  QVector(200, 950, 400, 0, -0.78, 0)
Tiempo:  6  , Tnorm:   53.3907  , Rnorm:  0.184056 
Tiempo:  12  , Tnorm:   36.5242  , Rnorm:  0.12047 
Tiempo:  17  , Tnorm:   53.6603  , Rnorm:  0.0575556 
Tiempo:  22  , Tnorm:   58.4226  , Rnorm:  0.0902985 
Tiempo:  27  , Tnorm:   61.827  , Rnorm:  0.0498824 
Tiempo:  32  , Tnorm:   59.2742  , Rnorm:  0.0188238 
Tiempo:  37  , Tnorm:   64.1279  , Rnorm:  0.0462531 
Tiempo:  41  , Tnorm:   64.3821  , Rnorm:  0.0212384 
Tiempo:  46  , Tnorm:   61.7101  , Rnorm:  0.0111592 
Tiempo:  51  , Tnorm:   61.9708  , Rnorm:  0.0262398 
Tiempo:  55  , Tnorm:   63.5489  , Rnorm:  0.015515 
Tiempo:  60  , Tnorm:   60.9282  , Rnorm:  0.0163539 
Tiempo:  65  , Tnorm:   64.2427  , Rnorm:  0.0271519 
